doi	state	client_id	updated	source_month
10.13128/acta_herpetol-10900	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-10921	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-10930	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11037	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11044	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11056	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-11067	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11096	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11139	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11141	findable	crui.unifi	2020-06-29T11:21:17Z	2020-06
10.13128/acta_herpetol-11315	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11380	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-11381	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11387	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11433	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11577	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-11697	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11804	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11805	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-11807	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-11865	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-11924	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-11929	findable	crui.unifi	2020-06-29T11:31:59Z	2020-06
10.13128/acta_herpetol-12065	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-12331	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-12381	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-12385	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-1248	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-1249	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-1250	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-12502	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-1251	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-1252	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-1253	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-1254	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-1255	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-1256	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-12658	findable	crui.unifi	2020-06-29T11:31:58Z	2020-06
10.13128/acta_herpetol-12667	findable	crui.unifi	2020-06-29T11:31:59Z	2020-06
10.13128/acta_herpetol-12700	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-12711	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-1287	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-12875	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-1288	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-1289	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-1290	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-1291	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-12914	findable	crui.unifi	2020-06-29T11:31:59Z	2020-06
10.13128/acta_herpetol-1292	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-1293	findable	crui.unifi	2020-06-29T11:20:53Z	2020-06
10.13128/acta_herpetol-12931	findable	crui.unifi	2020-06-29T11:31:59Z	2020-06
10.13128/acta_herpetol-1294	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-12947	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-1295	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-12954	findable	crui.unifi	2020-06-29T11:20:55Z	2020-06
10.13128/acta_herpetol-1296	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-1297	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-1298	findable	crui.unifi	2020-06-29T11:20:54Z	2020-06
10.13128/acta_herpetol-12988	findable	crui.unifi	2020-06-29T11:32:00Z	2020-06
10.13128/acta_herpetol-13105	findable	crui.unifi	2020-06-29T11:31:58Z	2020-06
10.13128/acta_herpetol-13115	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-13117	findable	crui.unifi	2020-06-29T11:31:58Z	2020-06
10.13128/acta_herpetol-13188	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-13237	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-13269	findable	crui.unifi	2020-06-29T11:31:58Z	2020-06
10.13128/acta_herpetol-13338	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-13404	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-13406	findable	crui.unifi	2020-06-29T11:31:58Z	2020-06
10.13128/acta_herpetol-13427	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-13473	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-13516	findable	crui.unifi	2020-06-29T11:31:58Z	2020-06
10.13128/acta_herpetol-13541	findable	crui.unifi	2020-06-29T11:31:59Z	2020-06
10.13128/acta_herpetol-13606	findable	crui.unifi	2020-06-29T11:31:58Z	2020-06
10.13128/acta_herpetol-13698	findable	crui.unifi	2020-06-29T11:20:56Z	2020-06
10.13128/acta_herpetol-13740	findable	crui.unifi	2020-06-29T11:32:00Z	2020-06
10.13128/acta_herpetol-13759	findable	crui.unifi	2020-06-29T11:31:59Z	2020-06
10.13128/acta_herpetol-14013	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-14028	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-14038	findable	crui.unifi	2020-06-29T11:31:58Z	2020-06
10.13128/acta_herpetol-14040	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-14180	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-14184	findable	crui.unifi	2020-06-29T11:47:58Z	2020-06
10.13128/acta_herpetol-14194	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-14209	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-14384	findable	crui.unifi	2020-06-29T11:47:58Z	2020-06
10.13128/acta_herpetol-14480	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
10.13128/acta_herpetol-14562	findable	crui.unifi	2020-06-29T11:47:58Z	2020-06
10.13128/acta_herpetol-14594	findable	crui.unifi	2020-06-29T12:16:05Z	2020-06
10.13128/acta_herpetol-14736	findable	crui.unifi	2020-06-29T11:47:58Z	2020-06
10.13128/acta_herpetol-14780	findable	crui.unifi	2020-06-29T12:16:05Z	2020-06
10.13128/acta_herpetol-14968	findable	crui.unifi	2020-06-29T11:47:57Z	2020-06
